file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00684_0509_3812022_to_3814394,ད་ད་དུང་འདི་ཅིག་ཡག་པོ་ཅིག ཨེ། མ་བྱུང་བ་ཡིན་ན།  ,da da dung 'di cig yag po cig_e/_ma byung ba yin na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00684_0509_3812022_to_3814394.wav,STT_TT,3,47,2.372,wav16k/STT_TT00684_0509_3812022_to_3814394.wav,ད་ད་དུང་འདི་ཅིག་ཡག་པོ་ཅིག ཨ། མ་བྱུང་བ་ཡིན་ན།
STT_TT00684_0579_4252380_to_4256441,ན་ད་དེ་ལ། ན་ད་དེར་རྩེ་མོ་ཏོག་ཙི་ལྷག དེར་ཏིང་ངེ་འཛིན་ཏོག་ཙི་སྒོམ།  ,na da de la/_na da der rtse mo tog tsi lhag_der ting nge 'dzin tog tsi sgom/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00684_0579_4252380_to_4256441.wav,STT_TT,3,66,4.061,wav16k/STT_TT00684_0579_4252380_to_4256441.wav,ན་ཚ་དེ་ལ། ན་ཚ་དེ་ཡཡ། རྩེད་མོ་ཏིས་ཙི་ལྷག དེ་ཏིང་ངེ་འཛིན་ཏིས་ཙི་སྒོམ།
STT_TT00766_0177_1037617_to_1041009,ད་ཐེག་ཆེན་སེམས་བསྐྱེད་ཡིན་པ་ཐལ་ཟེ་ན། འདོད་ལན་སྤྲད་རུང་བ་མ་ཡིན་ཏེ།  ,da theg chen sems bskyed yin pa thal ze na/_'dod lan sprad rung ba ma yin te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00766_0177_1037617_to_1041009.wav,STT_TT,3,67,3.392,wav16k/STT_TT00766_0177_1037617_to_1041009.wav,ད་ཐེག་ཆེན་སེམས་བསྐྱེད་ཡིན་པར་ཐལ་ཟེརན། འདོད་ལན་སྤྲད་རུང་བ་མ་ཡིན་ཏེ།
STT_NS_M0286_0153_1019974_to_1022448,ཨི་གྷོ་ཡིན་ན། སུ་པུར་ཨི་གྷོ་ཡིས་ག་རེ་ལབ་ཀི་ཡོད་རེད་ལབ་ན་ད།  ,i g+ho yin na/_su pur i g+ho yis ga re lab ki yod red lab na da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0286_0153_1019974_to_1022448.wav,STT_NS,3,60,2.474,wav16k/STT_NS_M0286_0153_1019974_to_1022448.wav,ཨི་གྷ་ཡིན་ན་སུ་པྀར་ཨི་གྷོ་ཡིས་ག་རེ་ལབ་གོད་རེད་ལབ་ན་ད།
STT_TT00684_0486_3637875_to_3647158,བདག་ཕུང་པོ་ངོས་གཟུང་བ་ལ་ལྟོས་ཟེ་དུས། ག་དུས་བདག་བློ་ལ་ཤར་ཡོང་དུས། ཕུང་པོ་བློ་ལ་ཤར་ནས། བདག་ཤར་གི་འདུག་མི་འདུག དེ་ལྟ་ཡ་རེད། བྱས་ཙང་། ཁྱད་པར་ཡོད་རེད།  ,bdag phung po ngos gzung ba la ltos ze dus/_ga dus bdag blo la shar yong dus/_phung po blo la shar nas/_bdag shar gi 'dug mi 'dug_de lta ya red/_byas tsang /_khyad par yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00684_0486_3637875_to_3647158.wav,STT_TT,3,147,9.283,wav16k/STT_TT00684_0486_3637875_to_3647158.wav,བདག་ཕུང་པོ་ངོས་བཟུང་བ་ལ་ལྟོས་ཟེར་དུས། ག་དུས་བདག་བློ་ལ་ཤར་ཡོང་དུས། ཕུང་པོ་བློ་ལ་ཤར་ནས་བདག་ཤར་གི་འདུག་མི་འདུག འདི་ལྟ་ཡ་རེད། བྱས་ཙང་ཁྱད་པར་ཡོད་རེད།
STT_TT00684_0496_3722994_to_3727738,ཁྱེད་རང་ཕྱི་ལོགས་ལ་ཡ་ཕྱི་ལོགས་ནས་ཡོང་དུས། ང་ཚོ་ཚོགས་ཁང་ནང་ལ་སུ་ཡོད་པ། མཐོང་གི་མ་ ,khyed rang phyi logs la ya phyi logs nas yong dus/_nga tsho tshogs khang nang la su yod pa/_mthong gi ma _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00684_0496_3722994_to_3727738.wav,STT_TT,3,81,4.744,wav16k/STT_TT00684_0496_3722994_to_3727738.wav,ཁྱེད་རང་ཕྱི་ལོགས་ལ་ཡ། ཕྱི་ལོགས་ལ་ཡོང་དུས། ང་ཚོ་ཚོགས་ཁང་ནང་ལ་སུ་ཡོད་པ། མཐོང་གི་མ་རེད།
STT_TT00684_0514_3843831_to_3846834,ད་ལྟ་ཤེས་རབ་རང་གིས་དཔྱད་ན་མ་གཏོགས་ཡོང་གི་མ་རེད། ཨུམ།  ,da lta shes rab rang gis dpyad na ma gtogs yong gi ma red/_um/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00684_0514_3843831_to_3846834.wav,STT_TT,3,54,3.003,wav16k/STT_TT00684_0514_3843831_to_3846834.wav,ད་ལྟ་ཤེས་རབ་རང་གིས་དཔྱད་ནས་མ་གཏོགས་ཡོང་གི་མ་རེད། ཨུམ།
STT_TT00761_1192_7509633_to_7512244,ཐ་མར་དགེ་བ་མཇུག་དོན་བཤད་པ་གསུམ་ཡོད་པའི་ནང་ནས།  ,tha mar dge ba mjug don bshad pa gsum yod pa'i nang nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00761_1192_7509633_to_7512244.wav,STT_TT,3,47,2.611,wav16k/STT_TT00761_1192_7509633_to_7512244.wav,ཐ་མར་དགེ་བ་འཇུག་རྡོམ་བཤད་པ་གསུམ་ཡོད་པའི་ངང་ནས།
STT_TT00724_0064_360708_to_364104,དེ་ལ་བརྟེན་ནས། ངས་འགྲེལ་བཤད་ཞུ་དགོས་ཡ་དེ། ད་ལྟ་རྩ་བ་རྡོ་རྗེ་གསུང་གི་ལུང་དེ།  ,de la brten nas/_ngas 'grel bshad zhu dgos ya de/_da lta rtsa ba rdo rje gsung gi lung de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00724_0064_360708_to_364104.wav,STT_TT,3,77,3.396,wav16k/STT_TT00724_0064_360708_to_364104.wav,དེ་ལ་བརྟེན་ནས་ངས་འགྲེལ་བཤད་ཞུ་དགོས་ཡ་དེ། ད་ལྟ་རྩ་བ་རྡོ་རྗེ་གསུང་གི་ལུང་དེ།
STT_TT00724_0071_407582_to_415614,ང་བླ་མ་ཞི་བ་ཐོབ་སོང་། བླ་མ་དྲག་པོ་ཐོབ་སོང་། ཨེ་ནས་ཁྲོ་བོ་དེ་འདྲའི་ཅིག་ཐོབ་སོང་། ཞི་བ་དེ་འདྲའི་ཅིག་ཐོབ་སོང་ཟེར་བའི་གྲངས་ཀ་བརྒྱབ་ནས་པོ་ཏི་བརྩིགས་བསྡད་པ་གཅིག་བུ་མ་ཡིན་པ།  ,nga bla ma zhi ba thob song /_bla ma drag po thob song /_e nas khro bo de 'dra'i cig thob song /_zhi ba de 'dra'i cig thob song zer ba'i grangs ka brgyab nas po ti brtsigs bsdad pa gcig bu ma yin pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00724_0071_407582_to_415614.wav,STT_TT,3,168,8.032,wav16k/STT_TT00724_0071_407582_to_415614.wav,ང་བླ་མ་ཞི་བ་ཐོབ་སོང་། བླ་མ་དྲག་པོ་ཐོབ་སོང་། ཨེ་ནས་ཁྲོ་བོ་དེ་འདྲའི་ཅིག་ཐོབ་སོང་། ཞི་བ་དེ་འདྲའི་ཅིག་ཐོབ་སོང་ཟེར་བའིགི་གྲངས་ཀ་བརྒྱབ་ནས་པོ་ཏི་བརྩིགས་བསྡད་པ་གཅིག་པོ་མ་ཡིན་པ།
